date,price_per_kg,commodity,region,source,price_type,gap_filled,is_outlier
2018-01-01,37.26,regular_milled,NCR,PSA,retail,False,False
2018-02-01,37.42,regular_milled,NCR,PSA,retail,False,False
2018-03-01,38.03,regular_milled,NCR,PSA,retail,False,False
2018-04-01,38.07,regular_milled,NCR,PSA,retail,False,False
2018-05-01,37.92,regular_milled,NCR,PSA,retail,False,False
2018-06-01,38.14,regular_milled,NCR,PSA,retail,False,False
2018-07-01,38.54,regular_milled,NCR,PSA,retail,False,False
2018-08-01,39.08,regular_milled,NCR,PSA,retail,False,False
2018-09-01,42.2,regular_milled,NCR,PSA,retail,False,False
2018-10-01,42.38,regular_milled,NCR,PSA,retail,False,False
2018-11-01,40.01,regular_milled,NCR,PSA,retail,False,False
2018-12-01,39.07,regular_milled,NCR,PSA,retail,False,False
2019-01-01,39.15,regular_milled,NCR,PSA,retail,False,False
2019-02-01,38.74,regular_milled,NCR,PSA,retail,False,False
2019-03-01,38.45,regular_milled,NCR,PSA,retail,False,False
2019-04-01,38.35,regular_milled,NCR,PSA,retail,False,False
2019-05-01,38.15,regular_milled,NCR,PSA,retail,False,False
2019-06-01,38.27,regular_milled,NCR,PSA,retail,False,False
2019-07-01,37.59,regular_milled,NCR,PSA,retail,False,False
2019-08-01,36.66,regular_milled,NCR,PSA,retail,False,False
2019-09-01,36.07,regular_milled,NCR,PSA,retail,False,False
2019-10-01,36.05,regular_milled,NCR,PSA,retail,False,False
2019-11-01,35.82,regular_milled,NCR,PSA,retail,False,False
2019-12-01,35.99,regular_milled,NCR,PSA,retail,False,False
2020-01-01,35.8,regular_milled,NCR,PSA,retail,False,False
2020-02-01,35.92,regular_milled,NCR,PSA,retail,False,False
2020-03-01,36.13,regular_milled,NCR,PSA,retail,False,False
2020-04-01,36.5,regular_milled,NCR,PSA,retail,False,False
2020-05-01,36.95,regular_milled,NCR,PSA,retail,False,False
2020-06-01,37.63,regular_milled,NCR,PSA,retail,False,False
2020-07-01,37.91,regular_milled,NCR,PSA,retail,False,False
2020-08-01,38.09,regular_milled,NCR,PSA,retail,False,False
2020-09-01,37.97,regular_milled,NCR,PSA,retail,False,False
2020-10-01,38.0,regular_milled,NCR,PSA,retail,False,False
2020-11-01,37.88,regular_milled,NCR,PSA,retail,False,False
2020-12-01,37.91,regular_milled,NCR,PSA,retail,False,False
2021-01-01,38.07,regular_milled,NCR,PSA,retail,False,False
2021-02-01,38.08,regular_milled,NCR,PSA,retail,False,False
2021-03-01,38.1,regular_milled,NCR,PSA,retail,False,False
2021-04-01,38.17,regular_milled,NCR,PSA,retail,False,False
2021-05-01,38.26,regular_milled,NCR,PSA,retail,False,False
2021-06-01,38.3,regular_milled,NCR,PSA,retail,False,False
2021-07-01,38.2,regular_milled,NCR,PSA,retail,False,False
2021-08-01,38.42,regular_milled,NCR,PSA,retail,False,False
2021-09-01,38.37,regular_milled,NCR,PSA,retail,False,False
2021-10-01,38.46,regular_milled,NCR,PSA,retail,False,False
2021-11-01,38.51,regular_milled,NCR,PSA,retail,False,False
2021-12-01,38.46,regular_milled,NCR,PSA,retail,False,False
2022-01-01,38.81,regular_milled,NCR,PSA,retail,False,False
2022-02-01,38.91,regular_milled,NCR,PSA,retail,False,False
2022-03-01,38.86,regular_milled,NCR,PSA,retail,False,False
2022-04-01,38.97,regular_milled,NCR,PSA,retail,False,False
2022-05-01,38.97,regular_milled,NCR,PSA,retail,False,False
2022-06-01,38.97,regular_milled,NCR,PSA,retail,False,False
2022-07-01,38.97,regular_milled,NCR,PSA,retail,False,False
2022-08-01,38.97,regular_milled,NCR,PSA,retail,False,False
2022-09-01,38.99,regular_milled,NCR,PSA,retail,False,False
2022-10-01,39.06,regular_milled,NCR,PSA,retail,False,False
2022-11-01,39.15,regular_milled,NCR,PSA,retail,False,False
2022-12-01,39.17,regular_milled,NCR,PSA,retail,False,False
2023-01-01,39.25,regular_milled,NCR,PSA,retail,False,False
2023-02-01,39.19,regular_milled,NCR,PSA,retail,False,False
2023-03-01,39.43,regular_milled,NCR,PSA,retail,False,False
2023-04-01,39.75,regular_milled,NCR,PSA,retail,False,False
2023-05-01,39.9,regular_milled,NCR,PSA,retail,False,False
2023-06-01,40.09,regular_milled,NCR,PSA,retail,False,False
2023-07-01,40.6,regular_milled,NCR,PSA,retail,False,False
2023-08-01,42.7,regular_milled,NCR,PSA,retail,False,False
2023-09-01,43.05,regular_milled,NCR,PSA,retail,False,False
2023-10-01,42.04,regular_milled,NCR,PSA,retail,False,False
2023-11-01,42.79,regular_milled,NCR,PSA,retail,False,False
2023-12-01,43.71,regular_milled,NCR,PSA,retail,False,False
2024-01-01,44.01,regular_milled,NCR,PSA,retail,False,False
2024-02-01,44.11,regular_milled,NCR,PSA,retail,False,False
2024-03-01,44.63,regular_milled,NCR,PSA,retail,False,False
2024-04-01,45.23,regular_milled,NCR,PSA,retail,False,False
2024-05-01,46.13,regular_milled,NCR,PSA,retail,False,True
2024-06-01,46.18,regular_milled,NCR,PSA,retail,False,True
2024-07-01,45.88,regular_milled,NCR,PSA,retail,False,True
2024-08-01,45.75,regular_milled,NCR,PSA,retail,False,True
2024-09-01,45.94,regular_milled,NCR,PSA,retail,False,True
2024-10-01,45.53,regular_milled,NCR,PSA,retail,False,True
2024-11-01,45.05,regular_milled,NCR,PSA,retail,False,False
2024-12-01,44.94,regular_milled,NCR,PSA,retail,False,False
2025-01-01,44.52,regular_milled,NCR,PSA,retail,False,False
2025-02-01,43.81,regular_milled,NCR,PSA,retail,False,False
2025-03-01,42.61,regular_milled,NCR,PSA,retail,False,False
2025-04-01,41.73,regular_milled,NCR,PSA,retail,False,False
2025-05-01,41.17,regular_milled,NCR,PSA,retail,False,False
2025-06-01,40.94,regular_milled,NCR,PSA,retail,False,False
2025-07-01,40.37,regular_milled,NCR,PSA,retail,False,False
2025-08-01,39.77,regular_milled,NCR,PSA,retail,False,False
2025-09-01,39.63,regular_milled,NCR,PSA,retail,False,False
2025-10-01,39.39,regular_milled,NCR,PSA,retail,False,False
2025-11-01,39.7,regular_milled,NCR,PSA,retail,False,False
2025-12-01,40.38,regular_milled,NCR,PSA,retail,False,False
2018-01-01,54.62,special,NCR,PSA,retail,False,False
2018-02-01,54.89,special,NCR,PSA,retail,False,False
2018-03-01,54.96,special,NCR,PSA,retail,False,False
2018-04-01,54.98,special,NCR,PSA,retail,False,False
2018-05-01,55.12,special,NCR,PSA,retail,False,False
2018-06-01,55.12,special,NCR,PSA,retail,False,False
2018-07-01,55.74,special,NCR,PSA,retail,False,False
2018-08-01,56.16,special,NCR,PSA,retail,False,False
2018-09-01,58.4,special,NCR,PSA,retail,False,False
2018-10-01,58.53,special,NCR,PSA,retail,False,False
2018-11-01,57.24,special,NCR,PSA,retail,False,False
2018-12-01,56.58,special,NCR,PSA,retail,False,False
2019-01-01,56.64,special,NCR,PSA,retail,False,False
2019-02-01,56.48,special,NCR,PSA,retail,False,False
2019-03-01,56.4,special,NCR,PSA,retail,False,False
2019-04-01,56.55,special,NCR,PSA,retail,False,False
2019-05-01,56.26,special,NCR,PSA,retail,False,False
2019-06-01,56.24,special,NCR,PSA,retail,False,False
2019-07-01,55.86,special,NCR,PSA,retail,False,False
2019-08-01,55.6,special,NCR,PSA,retail,False,False
2019-09-01,55.57,special,NCR,PSA,retail,False,False
2019-10-01,55.49,special,NCR,PSA,retail,False,False
2019-11-01,55.58,special,NCR,PSA,retail,False,False
2019-12-01,55.41,special,NCR,PSA,retail,False,False
2020-01-01,55.48,special,NCR,PSA,retail,False,False
2020-02-01,55.48,special,NCR,PSA,retail,False,False
2020-03-01,55.42,special,NCR,PSA,retail,False,False
2020-04-01,55.73,special,NCR,PSA,retail,False,False
2020-05-01,55.87,special,NCR,PSA,retail,False,False
2020-06-01,55.54,special,NCR,PSA,retail,False,False
2020-07-01,55.5,special,NCR,PSA,retail,False,False
2020-08-01,55.44,special,NCR,PSA,retail,False,False
2020-09-01,55.4,special,NCR,PSA,retail,False,False
2020-10-01,55.09,special,NCR,PSA,retail,False,False
2020-11-01,55.22,special,NCR,PSA,retail,False,False
2020-12-01,55.27,special,NCR,PSA,retail,False,False
2021-01-01,55.33,special,NCR,PSA,retail,False,False
2021-02-01,55.59,special,NCR,PSA,retail,False,False
2021-03-01,55.6,special,NCR,PSA,retail,False,False
2021-04-01,55.64,special,NCR,PSA,retail,False,False
2021-05-01,55.63,special,NCR,PSA,retail,False,False
2021-06-01,55.42,special,NCR,PSA,retail,False,False
2021-07-01,55.41,special,NCR,PSA,retail,False,False
2021-08-01,53.31,special,NCR,PSA,retail,False,False
2021-09-01,55.41,special,NCR,PSA,retail,False,False
2021-10-01,53.15,special,NCR,PSA,retail,False,False
2021-11-01,53.32,special,NCR,PSA,retail,False,False
2021-12-01,53.28,special,NCR,PSA,retail,False,False
2022-01-01,53.15,special,NCR,PSA,retail,False,False
2022-02-01,52.83,special,NCR,PSA,retail,False,False
2022-03-01,52.68,special,NCR,PSA,retail,False,False
2022-04-01,52.83,special,NCR,PSA,retail,False,False
2022-05-01,52.82,special,NCR,PSA,retail,False,False
2022-06-01,52.91,special,NCR,PSA,retail,False,False
2022-07-01,52.83,special,NCR,PSA,retail,False,False
2022-08-01,53.09,special,NCR,PSA,retail,False,False
2022-09-01,53.06,special,NCR,PSA,retail,False,False
2022-10-01,53.03,special,NCR,PSA,retail,False,False
2022-11-01,53.01,special,NCR,PSA,retail,False,False
2022-12-01,53.1,special,NCR,PSA,retail,False,False
2023-01-01,53.11,special,NCR,PSA,retail,False,False
2023-02-01,53.01,special,NCR,PSA,retail,False,False
2023-03-01,52.98,special,NCR,PSA,retail,False,False
2023-04-01,53.02,special,NCR,PSA,retail,False,False
2023-05-01,52.92,special,NCR,PSA,retail,False,False
2023-06-01,52.9,special,NCR,PSA,retail,False,False
2023-07-01,52.96,special,NCR,PSA,retail,False,False
2023-08-01,54.41,special,NCR,PSA,retail,False,False
2023-09-01,56.78,special,NCR,PSA,retail,False,False
2023-10-01,56.86,special,NCR,PSA,retail,False,False
2023-11-01,58.42,special,NCR,PSA,retail,False,False
2023-12-01,60.11,special,NCR,PSA,retail,False,False
2024-01-01,60.65,special,NCR,PSA,retail,False,True
2024-02-01,60.96,special,NCR,PSA,retail,False,True
2024-03-01,61.0,special,NCR,PSA,retail,False,True
2024-04-01,61.25,special,NCR,PSA,retail,False,True
2024-05-01,61.45,special,NCR,PSA,retail,False,True
2024-06-01,61.46,special,NCR,PSA,retail,False,True
2024-07-01,61.4,special,NCR,PSA,retail,False,True
2024-08-01,60.99,special,NCR,PSA,retail,False,True
2024-09-01,60.92,special,NCR,PSA,retail,False,True
2024-10-01,60.92,special,NCR,PSA,retail,False,True
2024-11-01,60.91,special,NCR,PSA,retail,False,True
2024-12-01,60.8,special,NCR,PSA,retail,False,True
2025-01-01,60.49,special,NCR,PSA,retail,False,True
2025-02-01,59.64,special,NCR,PSA,retail,False,False
2025-03-01,58.77,special,NCR,PSA,retail,False,False
2025-04-01,57.97,special,NCR,PSA,retail,False,False
2025-05-01,57.17,special,NCR,PSA,retail,False,False
2025-06-01,57.14,special,NCR,PSA,retail,False,False
2025-07-01,56.82,special,NCR,PSA,retail,False,False
2025-08-01,56.5,special,NCR,PSA,retail,False,False
2025-09-01,56.33,special,NCR,PSA,retail,False,False
2025-10-01,55.98,special,NCR,PSA,retail,False,False
2025-11-01,56.41,special,NCR,PSA,retail,False,False
2025-12-01,57.69,special,NCR,PSA,retail,False,False
2018-01-01,43.8,well_milled,NCR,PSA,retail,False,False
2018-02-01,43.94,well_milled,NCR,PSA,retail,False,False
2018-03-01,44.17,well_milled,NCR,PSA,retail,False,False
2018-04-01,44.19,well_milled,NCR,PSA,retail,False,False
2018-05-01,44.34,well_milled,NCR,PSA,retail,False,False
2018-06-01,44.42,well_milled,NCR,PSA,retail,False,False
2018-07-01,44.87,well_milled,NCR,PSA,retail,False,False
2018-08-01,45.36,well_milled,NCR,PSA,retail,False,False
2018-09-01,47.1,well_milled,NCR,PSA,retail,False,False
2018-10-01,47.45,well_milled,NCR,PSA,retail,False,False
2018-11-01,43.7,well_milled,NCR,PSA,retail,False,False
2018-12-01,42.83,well_milled,NCR,PSA,retail,False,False
2019-01-01,42.88,well_milled,NCR,PSA,retail,False,False
2019-02-01,42.69,well_milled,NCR,PSA,retail,False,False
2019-03-01,42.61,well_milled,NCR,PSA,retail,False,False
2019-04-01,42.66,well_milled,NCR,PSA,retail,False,False
2019-05-01,42.36,well_milled,NCR,PSA,retail,False,False
2019-06-01,42.31,well_milled,NCR,PSA,retail,False,False
2019-07-01,41.77,well_milled,NCR,PSA,retail,False,False
2019-08-01,41.56,well_milled,NCR,PSA,retail,False,False
2019-09-01,41.46,well_milled,NCR,PSA,retail,False,False
2019-10-01,41.19,well_milled,NCR,PSA,retail,False,False
2019-11-01,41.2,well_milled,NCR,PSA,retail,False,False
2019-12-01,41.23,well_milled,NCR,PSA,retail,False,False
2020-01-01,41.18,well_milled,NCR,PSA,retail,False,False
2020-02-01,40.95,well_milled,NCR,PSA,retail,False,False
2020-03-01,41.2,well_milled,NCR,PSA,retail,False,False
2020-04-01,41.61,well_milled,NCR,PSA,retail,False,False
