date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
2000-01-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (milled, superior)",593,KG,actual,Retail,PHP,20.0,0.49
2000-01-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (regular, milled)",80,KG,actual,Retail,PHP,18.0,0.44
2000-02-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (milled, superior)",593,KG,actual,Retail,PHP,20.0,0.49
2000-02-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (regular, milled)",80,KG,actual,Retail,PHP,18.0,0.45
2000-03-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (milled, superior)",593,KG,actual,Retail,PHP,20.0,0.49
2000-03-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (regular, milled)",80,KG,actual,Retail,PHP,18.0,0.44
2000-04-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (milled, superior)",593,KG,actual,Retail,PHP,20.0,0.49
2000-04-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (regular, milled)",80,KG,actual,Retail,PHP,18.0,0.44
2000-05-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (milled, superior)",593,KG,actual,Retail,PHP,20.0,0.48
2000-05-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (regular, milled)",80,KG,actual,Retail,PHP,18.0,0.43
2000-06-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (regular, milled)",80,KG,actual,Retail,PHP,18.0,0.42
2000-06-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (milled, superior)",593,KG,actual,Retail,PHP,20.0,0.47
2000-07-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (milled, superior)",593,KG,actual,Retail,PHP,20.0,0.45
2000-07-15,National Capital region,Metropolitan Manila,Metro Manila,167,14.6,120.98,cereals and tubers,"Rice (regular, milled)",80,KG,actual,Retail,PHP,18.0,0.4
