"Cereals: Retail Prices of Agricultural Commodities by Geolocation, Commodity, Year and Period"

"Geolocation","Commodity","Period","2018","2019","2020","2021","2022","2023","2024","2025"
"..National Capital Region (NCR)","RICE, WELL-MILLED, 1 KG","January",43.80,42.88,41.18,42.55,42.95,43.25,51.87,52.22
"..National Capital Region (NCR)","RICE, WELL-MILLED, 1 KG","February",43.94,42.69,40.95,42.60,42.84,42.98,52.35,51.82
"..National Capital Region (NCR)","RICE, WELL-MILLED, 1 KG","March",44.17,42.61,41.20,42.62,42.92,43.10,52.64,50.66
"..National Capital Region (NCR)","RICE, WELL-MILLED, 1 KG","April",44.19,42.66,41.61,42.76,43.03,43.23,52.98,49.45
"..National Capital Region (NCR)","RICE, WELL-MILLED, 1 KG","May",44.34,42.36,41.91,42.83,43.09,43.21,53.24,48.93
"..National Capital Region (NCR)","RICE, WELL-MILLED, 1 KG","June",44.42,42.31,42.44,42.82,43.15,43.19,53.20,48.65
"..National Capital Region (NCR)","RICE, WELL-MILLED, 1 KG","July",44.87,41.77,42.68,42.79,43.32,43.42,53.10,48.02
"..National Capital Region (NCR)","RICE, WELL-MILLED, 1 KG","August",45.36,41.56,42.69,42.90,43.32,47.06,53.03,47.35
"..National Capital Region (NCR)","RICE, WELL-MILLED, 1 KG","September",47.10,41.46,42.57,42.87,43.09,49.34,52.90,46.84
"..National Capital Region (NCR)","RICE, WELL-MILLED, 1 KG","October",47.45,41.19,42.49,42.96,43.14,47.95,52.76,46.49
"..National Capital Region (NCR)","RICE, WELL-MILLED, 1 KG","November",43.70,41.20,42.43,43.02,43.17,49.66,52.52,46.99
"..National Capital Region (NCR)","RICE, WELL-MILLED, 1 KG","December",42.83,41.23,42.59,42.93,43.45,51.26,52.49,48.08
"..National Capital Region (NCR)","RICE, REGULAR-MILLED, 1 KG","January",37.26,39.15,35.80,38.07,38.81,39.25,44.01,44.52
"..National Capital Region (NCR)","RICE, REGULAR-MILLED, 1 KG","February",37.42,38.74,35.92,38.08,38.91,39.19,44.11,43.81
"..National Capital Region (NCR)","RICE, REGULAR-MILLED, 1 KG","March",38.03,38.45,36.13,38.10,38.86,39.43,44.63,42.61
"..National Capital Region (NCR)","RICE, REGULAR-MILLED, 1 KG","April",38.07,38.35,36.50,38.17,38.97,39.75,45.23,41.73
"..National Capital Region (NCR)","RICE, REGULAR-MILLED, 1 KG","May",37.92,38.15,36.95,38.26,38.97,39.90,46.13,41.17
"..National Capital Region (NCR)","RICE, REGULAR-MILLED, 1 KG","June",38.14,38.27,37.63,38.30,38.97,40.09,46.18,40.94
"..National Capital Region (NCR)","RICE, REGULAR-MILLED, 1 KG","July",38.54,37.59,37.91,38.20,38.97,40.60,45.88,40.37
"..National Capital Region (NCR)","RICE, REGULAR-MILLED, 1 KG","August",39.08,36.66,38.09,38.42,38.97,42.70,45.75,39.77
"..National Capital Region (NCR)","RICE, REGULAR-MILLED, 1 KG","September",42.20,36.07,37.97,38.37,38.99,43.05,45.94,39.63
"..National Capital Region (NCR)","RICE, REGULAR-MILLED, 1 KG","October",42.38,36.05,38.00,38.46,39.06,42.04,45.53,39.39
"..National Capital Region (NCR)","RICE, REGULAR-MILLED, 1 KG","November",40.01,35.82,37.88,38.51,39.15,42.79,45.05,39.70
"..National Capital Region (NCR)","RICE, REGULAR-MILLED, 1 KG","December",39.07,35.99,37.91,38.46,39.17,43.71,44.94,40.38
"..National Capital Region (NCR)","RICE, SPECIAL, 1 KG","January",54.62,56.64,55.48,55.33,53.15,53.11,60.65,60.49
"..National Capital Region (NCR)","RICE, SPECIAL, 1 KG","February",54.89,56.48,55.48,55.59,52.83,53.01,60.96,59.64
"..National Capital Region (NCR)","RICE, SPECIAL, 1 KG","March",54.96,56.40,55.42,55.60,52.68,52.98,61.00,58.77
"..National Capital Region (NCR)","RICE, SPECIAL, 1 KG","April",54.98,56.55,55.73,55.64,52.83,53.02,61.25,57.97
"..National Capital Region (NCR)","RICE, SPECIAL, 1 KG","May",55.12,56.26,55.87,55.63,52.82,52.92,61.45,57.17
"..National Capital Region (NCR)","RICE, SPECIAL, 1 KG","June",55.12,56.24,55.54,55.42,52.91,52.90,61.46,57.14
"..National Capital Region (NCR)","RICE, SPECIAL, 1 KG","July",55.74,55.86,55.50,55.41,52.83,52.96,61.40,56.82
"..National Capital Region (NCR)","RICE, SPECIAL, 1 KG","August",56.16,55.60,55.44,53.31,53.09,54.41,60.99,56.50
"..National Capital Region (NCR)","RICE, SPECIAL, 1 KG","September",58.40,55.57,55.40,55.41,53.06,56.78,60.92,56.33
"..National Capital Region (NCR)","RICE, SPECIAL, 1 KG","October",58.53,55.49,55.09,53.15,53.03,56.86,60.92,55.98
"..National Capital Region (NCR)","RICE, SPECIAL, 1 KG","November",57.24,55.58,55.22,53.32,53.01,58.42,60.91,56.41
"..National Capital Region (NCR)","RICE, SPECIAL, 1 KG","December",56.58,55.41,55.27,53.28,53.10,60.11,60.80,57.69
